flatness492,1321.118,420.129,6.655
flatness493,1321.117,470.129,6.656
flatness494,1321.12,520.129,6.659
flatness495,1321.116,570.129,6.672
flatness496,1321.117,620.129,6.693
flatness497,1371.118,620.128,6.742
flatness498,1371.116,570.129,6.714
flatness499,1371.11,520.13,6.696
flatness500,1371.123,470.126,6.688
flatness501,1371.122,420.126,6.684
flatness502,1371.122,370.128,6.684
flatness503,1371.118,320.128,6.676
flatness504,1371.114,270.131,6.654
flatness505,1371.119,220.131,6.62
flatness506,1371.11,170.132,6.57
flatness507,1371.108,120.129,6.516
flatness508,1371.12,70.124,6.471
flatness509,1371.122,20.124,6.442
flatness510,1421.117,20.128,6.418
flatness511,1421.11,70.124,6.449
flatness512,1421.116,120.129,6.489
flatness513,1421.123,170.131,6.539
flatness514,1421.114,220.13,6.583
flatness515,1421.116,270.129,6.613
flatness516,1421.113,320.129,6.633
flatness517,1421.117,370.128,6.639
flatness518,1421.117,420.129,6.64
flatness519,1421.116,470.129,6.647
flatness520,1421.117,520.129,6.66
flatness521,1421.118,570.129,6.685
flatness522,1471.117,570.129,6.747
flatness523,1471.117,520.129,6.715
flatness524,1471.12,470.127,6.694
flatness525,1471.125,420.127,6.683
flatness526,1471.118,370.128,6.681
flatness527,1471.121,320.132,6.674
flatness528,1471.118,270.129,6.653
flatness529,1471.118,220.122,6.621
flatness530,1471.112,170.133,6.576
flatness531,1471.121,120.123,6.526
flatness532,1471.11,70.133,6.48
flatness533,1471.118,20.128,6.449
flatness534,1471.117,-29.872,6.419
flatness535,1471.121,-79.87,6.388
flatness536,1521.116,-79.867,6.398
flatness537,1521.116,-29.871,6.411
flatness538,1521.119,20.131,6.428
flatness539,1521.111,70.129,6.453
flatness540,1521.116,120.134,6.496
flatness541,1521.118,170.124,6.544
flatness542,1521.118,220.125,6.581
flatness543,1521.114,270.129,6.605
flatness544,1521.121,320.13,6.618
flatness545,1521.11,370.131,6.622
flatness546,1521.11,420.132,6.631
flatness547,1521.116,470.129,6.647
flatness548,1521.118,520.129,6.674
flatness549,1571.118,470.129,6.703
flatness550,1571.118,420.131,6.683
flatness551,1571.116,370.129,6.673
flatness552,1571.117,320.13,6.67
flatness553,1571.117,270.129,6.661
flatness554,1571.117,220.129,6.641
flatness555,1571.119,170.128,6.606
flatness556,1571.117,120.131,6.561
flatness557,1571.116,70.132,6.51
flatness558,1571.116,20.129,6.478
flatness559,1571.118,-29.872,6.458
flatness560,1621.118,20.128,6.442
flatness561,1621.11,70.122,6.479
flatness562,1621.112,120.123,6.526
flatness563,1621.122,170.127,6.573
flatness564,1621.119,220.126,6.609
flatness565,1621.114,270.129,6.629
flatness566,1621.115,320.13,6.64
flatness567,1621.118,370.131,6.65
flatness568,1621.117,420.129,6.667
flatness569,1621.117,470.128,6.697
flatness570,1671.121,470.128,6.761
flatness571,1671.125,420.129,6.721
flatness572,1671.117,370.128,6.695
flatness573,1671.119,320.125,6.677
